vendor_normalized,effective_year,sum_yearly_value
ACART COMMUNICATIONS,2012,1986916.6666667
ACART COMMUNICATIONS,2013,1986916.6666667
BELL CANADA,2008,582823.945
BELL CANADA,2009,396949.905
BELL CANADA,2010,11812.5
BELL CANADA,2011,751412.435
BELL CANADA,2012,995798.645
BELL CANADA,2013,7910
CISTEL TECHNOLOGY,2010,44100
CISTEL TECHNOLOGY,2011,69326.775
CISTEL TECHNOLOGY,2012,75666.08
CISTEL TECHNOLOGY,2013,319558.355
CISTEL TECHNOLOGY,2014,499978.67
CISTEL TECHNOLOGY,2015,961137.32
CISTEL TECHNOLOGY,2016,275245.4
CISTEL TECHNOLOGY,2017,603705.89
COSSETTE COMMUNICATIONS,2008,2069488.56
COSSETTE COMMUNICATIONS,2009,18512746.27
COSSETTE COMMUNICATIONS,2010,11251409.91
COSSETTE COMMUNICATIONS,2011,8282155.17
COSSETTE COMMUNICATIONS,2012,10847665.915
COSSETTE COMMUNICATIONS,2013,8801648.155
COSSETTE COMMUNICATIONS,2014,11009319.84
COSSETTE COMMUNICATIONS,2015,6851088.5
COSSETTE COMMUNICATIONS,2016,4633050.8
COSSETTE COMMUNICATIONS,2017,1169239.07
JP MORGAN SECURITIES CANADA,2009,500000
JP MORGAN SECURITIES CANADA,2010,500000
JP MORGAN SECURITIES CANADA,2011,500000
JP MORGAN SECURITIES CANADA,2012,-137000
JP MORGAN SECURITIES CANADA,2013,818500
JP MORGAN SECURITIES CANADA,2014,818500
MICROSOFT CANADA,2008,217560
MICROSOFT CANADA,2011,137554.9
MICROSOFT CANADA,2012,835917.5
MICROSOFT CANADA,2013,938189.845
MICROSOFT CANADA,2014,985940.0875
MICROSOFT CANADA,2015,92531.304166667
MICROSOFT CANADA,2016,100852.5
MICROSOFT CANADA,2017,166810.838333333
NORTHERN MICRO,2008,262027.51
NORTHERN MICRO,2009,48166.14
NORTHERN MICRO,2011,35058.02
NORTHERN MICRO,2012,404145.96
NORTHERN MICRO,2013,143202.58
NORTHERN MICRO,2014,59603.27
NORTHERN MICRO,2015,117680.26
NORTHERN MICRO,2016,237665.6
NORTHERN MICRO,2017,1072866.415
OGILVY MONTREAL,2009,947841.9
OGILVY MONTREAL,2010,1984500
OGILVY MONTREAL,2011,1984500
SAS INSTITUTE,2008,128031.75
SAS INSTITUTE,2009,363852.3
SAS INSTITUTE,2012,188989.675
SAS INSTITUTE,2013,540734.945
SAS INSTITUTE,2014,651076.055
SAS INSTITUTE,2015,855819.813333333
SAS INSTITUTE,2016,519007.053888889
SAS INSTITUTE,2017,520516.798888889
SOCIETE GAMMA,2009,645099.4175
SOCIETE GAMMA,2010,662248.2975
SOCIETE GAMMA,2011,-72649.161666667
SOCIETE GAMMA,2012,1164577.6888889
SOCIETE GAMMA,2013,1164577.6888889
SOCIETE GAMMA,2014,1164577.6888889
