vendor_normalized,effective_year,sum_yearly_value
ALITHYA,2016,201761.5
ALITHYA,2017,201761.5
ALITHYA GROUP,2015,20523.036666667
ALITHYA GROUP,2016,278163.036666667
ALITHYA GROUP,2017,314323.036666667
CORADIX TECHNOLOGY CONSULTING,2011,24853.22
CORADIX TECHNOLOGY CONSULTING,2013,72037.5
CORADIX TECHNOLOGY CONSULTING,2015,46706.666666667
CORADIX TECHNOLOGY CONSULTING,2016,159706.666666667
CORADIX TECHNOLOGY CONSULTING,2017,202109.916666667
DELOITTE AND TOUCHE,2011,244558.84
DELOITTE AND TOUCHE,2012,49946
DELOITTE AND TOUCHE,2013,24973
DELOITTE AND TOUCHE,2014,41104.32
DELOITTE AND TOUCHE,2015,17724.05
EXCEL HUMAN RESOURCES,2008,21330
EXCEL HUMAN RESOURCES,2010,14018.2
EXCEL HUMAN RESOURCES,2011,75147.53
EXCEL HUMAN RESOURCES,2012,9334.62
EXCEL HUMAN RESOURCES,2013,8475
EXCEL HUMAN RESOURCES,2014,197864.3
EXCEL HUMAN RESOURCES,2015,220010.89
EXCEL HUMAN RESOURCES,2016,64829.815
EXCEL HUMAN RESOURCES,2017,122771.435
GILMORE REPRODUCTIONS,2009,5000
GILMORE REPRODUCTIONS,2010,30325
GILMORE REPRODUCTIONS,2011,242415
GILMORE REPRODUCTIONS,2012,288923.333333333
GILMORE REPRODUCTIONS,2013,107833.333333333
GILMORE REPRODUCTIONS,2014,107833.333333333
GILMORE REPRODUCTIONS,2015,54500
GILMORE REPRODUCTIONS,2016,54500
GILMORE REPRODUCTIONS,2017,54500
IAN MARTIN,2011,263110.07
IAN MARTIN,2012,171684.43
IAN MARTIN,2013,97436.4
PPI MANAGEMENT,2011,37500
PPI MANAGEMENT,2012,93150
PPI MANAGEMENT,2013,93150
PPI MANAGEMENT,2014,75750
PPI MANAGEMENT,2015,32600
PPI MANAGEMENT,2016,32600
PPI MANAGEMENT,2017,49816.68
PROTAK CONSULTING GROUP,2014,39776
PROTAK CONSULTING GROUP,2015,388461.4
PROTAK CONSULTING GROUP,2016,217571.5
PROTAK CONSULTING GROUP,2017,200000
QUANTUM MANAGEMENT SERVICES,2008,14720
QUANTUM MANAGEMENT SERVICES,2011,56379.03
QUANTUM MANAGEMENT SERVICES,2012,72686.06
QUANTUM MANAGEMENT SERVICES,2013,40734.14
QUANTUM MANAGEMENT SERVICES,2014,92881.38
QUANTUM MANAGEMENT SERVICES,2015,59473.03
QUANTUM MANAGEMENT SERVICES,2016,61753.37
QUANTUM MANAGEMENT SERVICES,2017,93969.13
