vendor_normalized,effective_year,sum_yearly_value
ALTIS HUMAN RESOURCES,2016,485436.62
ALTIS HUMAN RESOURCES,2017,602288.14
ASL CONSULTING,2015,167087.80
ASL CONSULTING,2016,167087.80
ASL CONSULTING,2017,292286.38
CGI,2014,299198.13
CGI,2015,526511.76
CGI,2016,354499.19
CGI,2017,1053772.22
EMERION,2016,265756.79
EMERION,2017,441803.08
IBISKA TELECOM,2015,508253.52
IBISKA TELECOM,2016,492632.94
IBISKA TELECOM,2017,-118464.14
MICROSOFT CANADA,2016,291223.60
MICROSOFT CANADA,2017,829896.67
MOODYS ANALYTICS,2016,270546.68
MOODYS ANALYTICS,2017,446402.55
NISHA TECHONOLOGIES,2016,399356.43
NISHA TECHONOLOGIES,2017,322711.69
TRM TECHNOLOGIES,2016,421610.93
TRM TECHNOLOGIES,2017,242142.46
VERITAAQ TECHNOLOGY HOUSE,2014,414899.31
VERITAAQ TECHNOLOGY HOUSE,2015,734722.43
VERITAAQ TECHNOLOGY HOUSE,2016,462524.80
VERITAAQ TECHNOLOGY HOUSE,2017,2521258.20
