gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
BELL CANADA,2008,10,4,6
BELL CANADA,2009,3,3,0
BELL CANADA,2010,3,3,0
BELL CANADA,2011,5,5,0
EXCEL HUMAN RESOURCES,2008,1,1,0
EXCEL HUMAN RESOURCES,2009,1,1,0
EXCEL HUMAN RESOURCES,2010,1,1,0
EXCEL HUMAN RESOURCES,2011,1,1,0
EXCEL HUMAN RESOURCES,2012,3,2,1
EXCEL HUMAN RESOURCES,2013,2,2,0
EXCEL HUMAN RESOURCES,2014,2,1,1
EXCEL HUMAN RESOURCES,2015,1,1,0
EXCEL HUMAN RESOURCES,2016,3,2,1
EXCEL HUMAN RESOURCES,2017,1,0,1
GARTNER,2008,2,2,0
GARTNER,2009,4,3,1
GARTNER,2010,2,2,0
GARTNER,2011,2,2,0
GARTNER,2012,2,2,0
GARTNER,2014,1,1,0
GARTNER,2015,2,2,0
GARTNER,2016,1,1,0
IBM CANADA,2008,1,1,0
IBM CANADA,2009,2,2,0
IBM CANADA,2010,3,3,0
IBM CANADA,2011,4,3,1
IBM CANADA,2012,2,2,0
IBM CANADA,2017,1,1,0
INTEGRA NETWORKS CORPORATION,2008,14,14,0
INTEGRA NETWORKS CORPORATION,2009,12,12,0
INTEGRA NETWORKS CORPORATION,2010,4,4,0
INTEGRA NETWORKS CORPORATION,2011,4,4,0
INTEGRA NETWORKS CORPORATION,2012,1,1,0
ORACLE CANADA,2008,1,1,0
ORACLE CANADA,2009,5,5,0
ORACLE CANADA,2010,3,3,0
ORACLE CANADA,2011,2,1,1
ORACLE CANADA,2012,3,2,1
SAS INSTITUTE,2008,9,7,2
SAS INSTITUTE,2009,1,1,0
SAS INSTITUTE,2010,5,4,1
SAS INSTITUTE,2011,4,4,0
SAS INSTITUTE,2012,5,3,2
SAS INSTITUTE,2015,1,1,0
SHI CANADA ULC,2009,4,4,0
SHI CANADA ULC,2010,5,5,0
SHI CANADA ULC,2011,3,3,0
SHI CANADA ULC,2012,1,1,0
XEROX,2008,5,4,1
XEROX,2009,5,5,0
XEROX,2010,1,1,0
XEROX,2011,1,1,0
XEROX,2013,1,1,0
ZYCOM,2008,5,5,0
ZYCOM,2009,6,6,0
ZYCOM,2010,3,3,0
ZYCOM,2011,1,1,0
