owner_acronym,effective_year,sum_yearly_value
dfo,2010,22368.77
dfo,2011,95677.84
dfo,2012,165429.65
dfo,2013,185915.62
dfo,2014,43915.62
dfo,2017,36280.24
dnd,2016,12553593.75
dnd,2017,12553593.75
esdc,2015,237663.75
esdc,2016,237663.75
ic,2009,12000.00
ic,2010,78521.00
ic,2011,39550.00
ic,2014,25616.50
ic,2015,154989.00
ic,2016,135056.50
ic,2017,96095.54
ircc,2010,241915.55
ircc,2011,283502.90
ircc,2012,37035.76
pc,2011,38666.72
pc,2012,68405.06
pc,2014,112075.99
pc,2015,72464.45
pc,2016,44998.64
pc,2017,11289.09
pch,2015,40956.71
pch,2016,36994.46
pch,2017,76733.26
pspc,2008,1620505.47
pspc,2009,639122.72
pspc,2010,1996046.72
pspc,2011,37637.82
pspc,2012,41592.96
pspc,2013,155368265.01
pspc,2014,1389031799.50
pspc,2015,1390059448.73
pspc,2016,1390214440.56
pspc,2017,1388920317.63
rcmp,2010,22558.90
rcmp,2011,33661.21
rcmp,2012,4584.05
rcmp,2013,44134.05
rcmp,2014,4584.05
rcmp,2015,4584.05
rcmp,2016,422051.23
rcmp,2017,541294.14
ssc,2015,255332.49
ssc,2016,108476.17
