owner_acronym,sum_effective_value
esdc,110092835.29
fin,83427812.19
dnd,76437261.91
cra,38407644.45
hc,31339421.52
ircc,29978749.61
phac,29583431.02
vac,28662799.69
nrcan,24157579.74
pch,15742597.27
rcmp,13105809.55
pc,10968858.04
ps,9833455.07
pspc,9660947.58
gac,8048974.48
infra,6379468.27
stats,6137616.23
ic,4419591.00
fcac,3670769.35
ec,2941661.42
just,2877040.96
agr,1095588.46
pco,966968.12
nrc,801940.00
cfia,385199.45
acoa,260378.16
inac,245211.72
dfo,145042.45
cta,129555.94
ced,110441.59
atssc,55057.49
nfb,27512.50
crtc,27367.35
pptc,26691.14
cbsa,24204.42
tc,18249.25
