owner_acronym,source_year,total_entries,total_contracts,total_amendments
agr,2013,26,17,9
agr,2014,38,25,13
agr,2015,89,58,31
agr,2016,95,39,56
agr,2017,84,23,61
cra,2008,70,33,37
cra,2009,53,18,35
cra,2010,44,12,32
cra,2011,41,10,31
cra,2012,18,7,11
cra,2013,4,2,2
cra,2014,7,6,1
cra,2016,15,6,9
cra,2017,12,6,6
dnd,2008,14,10,4
dnd,2009,22,13,9
dnd,2010,35,21,14
dnd,2011,36,29,7
dnd,2012,11,5,6
dnd,2013,6,4,2
dnd,2014,6,4,2
dnd,2015,9,4,5
dnd,2016,11,8,3
dnd,2017,11,6,5
esdc,2008,10,10,0
esdc,2009,18,18,0
esdc,2010,18,18,0
esdc,2011,25,25,0
esdc,2012,25,25,0
esdc,2013,21,21,0
esdc,2014,32,32,0
esdc,2015,16,16,0
esdc,2016,7,7,0
esdc,2017,5,4,1
gac,2008,17,17,0
gac,2009,7,7,0
gac,2010,5,5,0
gac,2011,2,2,0
gac,2012,4,4,0
gac,2013,9,8,1
gac,2014,14,11,3
gac,2015,11,5,6
gac,2016,3,3,0
gac,2017,5,5,0
ic,2008,3,3,0
ic,2009,5,5,0
ic,2010,8,7,1
ic,2011,4,1,3
ic,2012,14,11,3
ic,2013,10,8,2
ic,2014,17,10,7
ic,2015,13,10,3
ic,2016,11,7,4
ic,2017,11,7,4
pspc,2008,39,35,4
pspc,2009,29,29,0
pspc,2010,38,31,7
pspc,2011,23,11,12
pspc,2012,7,5,2
pspc,2013,13,9,4
pspc,2014,7,4,3
pspc,2015,4,3,1
pspc,2016,9,6,3
pspc,2017,11,4,7
rcmp,2008,9,7,2
rcmp,2009,6,6,0
rcmp,2010,11,7,4
rcmp,2011,23,22,1
rcmp,2012,31,24,7
rcmp,2013,31,23,8
rcmp,2014,26,20,6
rcmp,2015,25,22,3
rcmp,2016,24,20,4
rcmp,2017,21,17,4
ssc,2011,1,1,0
ssc,2012,68,36,32
ssc,2013,72,61,11
ssc,2014,38,14,24
ssc,2015,21,12,9
ssc,2016,67,48,19
ssc,2017,74,53,21
stats,2008,16,16,0
stats,2009,15,15,0
stats,2010,9,9,0
stats,2011,10,9,1
stats,2012,4,4,0
stats,2013,2,2,0
stats,2014,1,1,0
stats,2015,5,5,0
stats,2016,2,2,0
stats,2017,3,3,0
