owner_acronym,effective_year,sum_yearly_value
atssc,2017,99999.00
cas,2016,2282500.00
cas,2017,2482500.00
cbsa,2017,18492.36
ceaa,2014,134750.00
ceaa,2015,65250.00
ceaa,2016,90333.83
ceaa,2017,90333.83
ced,2015,25500.00
ced,2016,25500.00
ced,2017,32098.14
cfia,2014,25425.00
cfia,2015,25425.00
cihr,2016,35000.00
cihr,2017,62500.00
cra,2017,32155.11
crtc,2017,220272.94
csc,2014,440456.00
csc,2015,825448.00
csc,2016,176207.76
csc,2017,98267.89
dfo,2008,34443.51
dfo,2009,34443.51
dfo,2010,34443.51
dfo,2011,222754.52
dfo,2012,166229.60
dfo,2014,179447.60
dfo,2015,103435.70
dfo,2017,10027.73
dnd,2009,78750.00
dnd,2010,157500.00
dnd,2011,487359.60
ec,2008,571900.00
ec,2009,875794.21
ec,2010,352959.21
ec,2011,792660.55
ec,2012,10000.00
ec,2013,6006467.76
ec,2014,2257431.97
ec,2015,1735932.58
ec,2016,270586.68
ec,2017,90777.78
esdc,2008,1613034.85
esdc,2009,1363034.91
esdc,2010,1315721.41
esdc,2011,1209461.41
esdc,2012,228733.59
esdc,2014,195919.50
esdc,2015,195919.50
esdc,2016,195919.50
esdc,2017,195919.50
fja,2013,56146.50
fja,2014,55652.50
fja,2015,64221.67
fja,2016,64221.67
fja,2017,58006.67
gac,2016,5650.00
gac,2017,5650.00
hc,2010,39125.00
hc,2011,268294.40
hc,2012,387326.50
hc,2013,333845.45
hc,2014,232259.01
hc,2015,185885.57
hc,2016,208405.90
hc,2017,242149.90
ic,2008,99840.00
ic,2009,34650.00
ic,2011,116861.00
ic,2012,35718.00
inac,2014,30081.58
inac,2015,51081.58
inac,2016,42000.00
inac,2017,11880.75
infra,2008,25097.33
infra,2009,53347.33
infra,2010,28250.00
just,2009,21000.00
just,2010,43600.00
just,2011,43600.00
neb,2017,30000.00
nrc,2008,3515.33
nrc,2009,3515.33
nrc,2010,54280.67
nrc,2012,16304.00
nrc,2014,66704.00
nrc,2015,21309.67
nrc,2016,52247.21
nrcan,2011,8475.00
nrcan,2012,36725.00
nrcan,2013,67261.85
nrcan,2014,72629.35
nrcan,2015,5367.50
osfi,2017,11216.95
pch,2014,70161.93
pch,2015,28168.88
pch,2017,7473.38
pco,2017,18833.33
phac,2010,50425.00
phac,2011,238607.04
phac,2012,281877.04
phac,2013,190913.50
phac,2014,185886.13
phac,2015,242293.33
phac,2016,623569.44
phac,2017,504081.54
ps,2012,1000000.00
ps,2013,1000000.00
pspc,2008,1443115.41
pspc,2009,2122750.49
pspc,2010,1466163.62
pspc,2011,1519245.82
pspc,2012,26743.50
pspc,2013,1041934.65
pspc,2014,3084771.14
pspc,2015,8363067.58
pspc,2016,9508948.03
pspc,2017,9507850.31
stats,2008,506040.18
stats,2009,510390.18
stats,2010,747427.68
stats,2011,561253.33
stats,2012,586940.83
stats,2013,531005.83
stats,2014,340412.50
stats,2015,307925.00
stats,2016,47927.07
stats,2017,47927.07
tbs,2012,-465183.33
tbs,2013,605805.56
tbs,2014,605805.56
tbs,2015,605805.56
tbs,2016,22600.01
tc,2012,84750.00
tc,2013,84750.00
tc,2014,84750.00
tc,2015,610200.00
tc,2016,610200.00
tc,2017,813600.00
tsb,2017,14371.88
