owner_acronym,source_year,total_entries,total_contracts,total_amendments
acoa,2008,2,2,0
acoa,2009,2,2,0
acoa,2010,3,3,0
acoa,2011,2,2,0
acoa,2013,1,1,0
agr,2013,1,1,0
agr,2014,5,4,1
agr,2015,2,2,0
agr,2016,1,1,0
agr,2017,3,3,0
atssc,2017,3,3,0
cbsa,2014,4,4,0
cbsa,2015,8,8,0
cbsa,2016,2,2,0
cbsa,2017,1,1,0
ceaa,2008,1,1,0
ced,2008,1,1,0
cfia,2012,2,2,0
cfia,2017,4,3,1
cihr,2016,3,3,0
cihr,2017,2,2,0
cra,2008,46,46,0
cra,2009,23,23,0
cra,2010,22,22,0
cra,2011,40,39,1
cra,2012,32,31,1
cra,2013,24,23,1
cra,2014,12,12,0
cra,2015,14,12,2
cra,2016,19,18,1
cra,2017,15,12,3
csa,2009,1,1,0
csa,2010,1,1,0
csa,2016,2,2,0
csc,2017,37,37,0
csps,2012,1,1,0
csps,2016,1,1,0
cta,2017,1,1,0
dfo,2010,3,3,0
dfo,2011,8,5,3
dfo,2013,6,3,3
dfo,2015,2,2,0
dfo,2016,2,2,0
dfo,2017,11,11,0
dnd,2008,6,6,0
dnd,2009,10,10,0
dnd,2010,8,8,0
dnd,2011,36,36,0
dnd,2012,20,20,0
dnd,2013,8,8,0
dnd,2014,24,24,0
dnd,2015,26,26,0
dnd,2016,10,10,0
dnd,2017,16,16,0
ec,2008,16,16,0
ec,2009,2,2,0
ec,2010,2,2,0
ec,2011,2,2,0
ec,2012,1,1,0
ec,2013,2,2,0
ec,2014,3,3,0
ec,2015,1,1,0
ec,2017,5,5,0
elections,2017,3,2,1
esdc,2008,8,8,0
esdc,2009,21,21,0
esdc,2010,17,17,0
esdc,2011,24,24,0
esdc,2012,15,15,0
esdc,2013,4,4,0
esdc,2016,3,3,0
esdc,2017,8,8,0
feddev,2016,1,1,0
fin,2008,1,1,0
fintrac,2009,1,1,0
fintrac,2010,4,4,0
fintrac,2011,1,1,0
fintrac,2013,2,2,0
fintrac,2015,1,1,0
gac,2008,7,7,0
gac,2009,19,19,0
gac,2010,9,9,0
gac,2011,5,5,0
gac,2012,4,4,0
gac,2013,8,8,0
gac,2014,13,13,0
gac,2015,2,2,0
gac,2016,6,6,0
gac,2017,11,11,0
hc,2010,3,3,0
hc,2011,10,10,0
hc,2012,2,2,0
hc,2013,20,20,0
hc,2014,16,16,0
hc,2015,13,13,0
hc,2016,6,6,0
hc,2017,3,3,0
ic,2008,7,7,0
ic,2009,5,5,0
ic,2010,3,3,0
ic,2011,3,3,0
ic,2012,3,3,0
ic,2013,8,8,0
ic,2014,5,5,0
ic,2016,2,2,0
ic,2017,5,5,0
inac,2014,1,1,0
inac,2015,2,2,0
inac,2016,1,1,0
infra,2009,4,4,0
infra,2010,2,2,0
infra,2014,2,2,0
infra,2015,1,1,0
infra,2016,2,2,0
infra,2017,2,2,0
ircc,2010,2,2,0
ircc,2011,9,9,0
ircc,2012,12,12,0
ircc,2013,7,7,0
ircc,2014,4,4,0
ircc,2015,7,7,0
ircc,2016,2,2,0
ircc,2017,7,7,0
isc,2017,1,1,0
just,2008,6,6,0
just,2009,2,1,1
just,2010,3,3,0
just,2011,5,5,0
just,2013,2,2,0
just,2014,1,1,0
just,2015,2,2,0
just,2016,1,1,0
just,2017,3,3,0
nrc,2009,7,7,0
nrc,2010,5,5,0
nrc,2011,1,1,0
nrc,2012,1,1,0
nrc,2013,4,4,0
nrc,2014,5,5,0
nrc,2015,4,4,0
nrc,2016,2,2,0
nrc,2017,2,2,0
nrcan,2011,1,1,0
nrcan,2013,6,6,0
nrcan,2014,7,7,0
nrcan,2015,5,5,0
nrcan,2016,1,1,0
nrcan,2017,7,7,0
oic,2017,1,1,0
pc,2010,1,1,0
pc,2011,1,1,0
pc,2012,2,2,0
pc,2013,1,1,0
pc,2014,7,7,0
pc,2016,3,3,0
pc,2017,3,3,0
pch,2016,2,2,0
pch,2017,2,2,0
pco,2008,12,12,0
pco,2009,9,9,0
pco,2010,1,1,0
pco,2011,1,1,0
pco,2013,2,2,0
pco,2016,1,1,0
pco,2017,3,3,0
phac,2010,3,3,0
phac,2011,10,10,0
phac,2012,2,2,0
phac,2013,20,20,0
phac,2014,16,16,0
phac,2015,13,13,0
phac,2016,5,5,0
ppsc,2008,6,6,0
ppsc,2009,1,1,0
ppsc,2011,1,1,0
ppsc,2012,1,1,0
ppsc,2013,3,3,0
ppsc,2017,2,2,0
pptc,2010,2,2,0
pptc,2011,13,13,0
pptc,2012,3,3,0
pptc,2013,2,2,0
psc,2008,7,7,0
psc,2009,4,4,0
pspc,2008,31,29,2
pspc,2009,44,43,1
pspc,2010,42,40,2
pspc,2011,75,65,10
pspc,2012,54,49,5
pspc,2013,101,84,17
pspc,2014,60,51,9
pspc,2015,39,33,6
pspc,2016,95,89,6
pspc,2017,111,106,5
rcmp,2008,21,20,1
rcmp,2009,5,5,0
rcmp,2010,2,2,0
rcmp,2011,16,16,0
rcmp,2012,5,5,0
rcmp,2013,8,7,1
rcmp,2014,1,1,0
rcmp,2016,9,8,1
rcmp,2017,9,9,0
ssc,2016,2,2,0
stats,2009,1,1,0
stats,2010,6,6,0
stats,2011,1,1,0
stats,2013,2,2,0
stats,2015,2,2,0
stats,2016,6,6,0
stats,2017,2,2,0
swc,2016,1,1,0
tbs,2008,1,1,0
tbs,2011,4,4,0
tbs,2013,1,1,0
tbs,2015,2,2,0
tbs,2017,1,1,0
tc,2013,1,1,0
tc,2014,3,3,0
tc,2015,2,2,0
tc,2016,3,3,0
tc,2017,4,4,0
vac,2012,1,1,0
vac,2017,2,2,0
