owner_acronym,total_entries,total_contracts,total_amendments
pspc,652,589,63
cra,247,238,9
dnd,164,164,0
esdc,100,100,0
gac,84,84,0
rcmp,76,73,3
hc,73,73,0
phac,69,69,0
ircc,50,50,0
ic,41,41,0
csc,37,37,0
ec,34,34,0
dfo,32,26,6
nrc,31,31,0
pco,29,29,0
nrcan,27,27,0
just,25,24,1
stats,20,20,0
pptc,20,20,0
pc,18,18,0
cbsa,15,15,0
ppsc,14,14,0
tc,13,13,0
infra,13,13,0
agr,12,11,1
psc,11,11,0
acoa,10,10,0
tbs,9,9,0
fintrac,9,9,0
cfia,6,5,1
cihr,5,5,0
pch,4,4,0
inac,4,4,0
csa,4,4,0
vac,3,3,0
elections,3,2,1
atssc,3,3,0
ssc,2,2,0
csps,2,2,0
oic,1,1,0
ced,1,1,0
cta,1,1,0
swc,1,1,0
fin,1,1,0
isc,1,1,0
ceaa,1,1,0
feddev,1,1,0
