owner_acronym,effective_year,sum_yearly_value
atssc,2017,21429.89
cas,2016,7603.57
cas,2017,113857.56
cfia,2012,137202.00
cra,2014,8999.32
cra,2015,17042.66
cra,2016,8043.34
crtc,2017,18273.96
csa,2009,37822.66
csa,2010,101103.03
cta,2016,18744.80
cta,2017,25406.68
dfo,2010,77471.83
dfo,2011,77471.83
dfo,2013,22576.05
dfo,2014,22576.05
dnd,2009,339984.00
dnd,2010,1205207.00
dnd,2011,3216993.50
dnd,2012,6784638.63
dnd,2013,5210872.63
dnd,2014,3302186.00
dnd,2015,8893874.60
dnd,2016,891889.10
dnd,2017,623137.38
esdc,2011,76404.83
esdc,2012,76404.83
fin,2012,99525.40
fin,2013,99525.40
fintrac,2012,10415.57
fja,2013,46527.46
gac,2015,68579.70
gac,2017,24991.87
ic,2012,102946.00
ic,2013,14534.00
inac,2015,54081.46
just,2015,6201.43
just,2016,42499.77
nrc,2012,20337.00
nrc,2013,8700.00
osfi,2017,112936.72
osgg,2017,5276602.95
pc,2011,7310.96
pc,2012,7310.96
pch,2010,14911.11
pco,2012,174033.56
phac,2016,9424.20
phac,2017,9424.20
ps,2012,93387.72
ps,2013,58000.64
ps,2014,23865.60
ps,2015,52061.70
ps,2016,108168.37
ps,2017,60750.27
psc,2008,72172.00
psc,2010,44569.00
pspc,2009,215517.67
pspc,2010,215517.67
pspc,2011,506186.48
pspc,2012,506186.48
pspc,2014,14713.96
rcmp,2009,1394100.04
rcmp,2010,437845.01
rcmp,2011,437845.01
rcmp,2012,245115.17
rcmp,2013,37337.46
rcmp,2014,47672.60
rcmp,2015,78030.69
rcmp,2016,2252659.32
rcmp,2017,876164.46
ssc,2012,28186.00
ssc,2013,6029692.34
ssc,2014,3994204.65
ssc,2015,5235868.83
ssc,2016,21793837.89
ssc,2017,29282767.67
stats,2009,334370.84
stats,2010,334370.84
stats,2011,536025.80
stats,2012,219351.08
stats,2017,1566993.54
tbs,2010,492163.62
tbs,2011,15139.71
tbs,2012,846507.55
tc,2012,239805.00
