vendor_normalized,sum_effective_value
BROOKFIELD ASSET MANAGEMENT,148371300
SUN LIFE ASSURANCE COMPANY,103796495.9325
DELOITTE AND TOUCHE,26519696.15
IBM CANADA,21256894.3316666
GARTNER,16006297.98
DYNAMEX CANADA,15671868.7866669
EXCEL HUMAN RESOURCES,15440324.57
SYSTEMATIX SOLUTIONS,15172605.1283334
SOCIETE GAMMA,14794952.1533334
GENERAL DYNAMICS,12670243.98
CONFLUENCE CONSULTING,12310563.7666667
VERITAAQ TECHNOLOGY HOUSE,9696089.13
CACHE COMPUTER CONSULTING,9385654.86833334
MICROSOFT CANADA,8138162.48
NORTHERN MICRO,7966812.045
CGI,7713476.66
PLEIAD CANADA,7685316.49666663
GSI GROUP,6727937.63083333
THE AIM GROUP,6633359.36666667
CANADIAN CORPS OF COMMISSIONAIRES,6623613.19
TERAMACH TECHNOLOGIES,6542947.81
QMR,6425448.19666668
KPMG,4955820.17
CONTRACT COMMUNITY,4761733.75
CISTEL TECHNOLOGY,4749824.88
KONICA MINOLTA BUSINESS SOLUTIONS,4517493.78488096
ERNST YOUNG,4332671.61999998
GSI INTERNATIONAL CONSULTING GROUP,3735285.06333333
ALTIS HUMAN RESOURCES,3629244.3
TIREE,3572325.50000007
IBISKA TELECOM,3428205.9
BURNTEDGE,3322711.68
CONEXSYS,3207000.24
LEDBETTER ASSOCIATES,3161513.8666666
LUMINA IT,3084964.82333333
BDO CANADA,3056845.31
RANDSTAD,2988855.03
TRM TECHNOLOGIES,2866116.915
PRICEWATERHOUSE COOPERS,2804251.02999999
I4C INFORMATION TECHNOLOGY,2732255.25
INSIGHT SOFTWARE CANADA,2628449.8
CORADIX TECHNOLOGY CONSULTING,2525515.05000001
ADVANCED CHIPPEWA TECHNOLOGIES,2501207.17500001
BELL CANADA,2475399.885
LIONBRIDGE,2452100.01000005
IT NET CONSULTANTS,2411640.33333335
HAY GROUP,2371548.57
ITEX,2244610.54
VMWARE,2215458.14
SAS INSTITUTE,2195547.975
SYSTEMSCOPE,2080906.02
SI SYSTEMS,2012878.86
THE HALIFAX GROUP,1872373.78333332
GSI INTERNATIONAL GROUP,1858586.00000001
COMPUTER SCIENCES CANADA,1776100
THE MASHA KRUPP TRANSLATION,1663360
HYPERTEC,1662608.57
DONNA CONA,1655813.12333335
ARTEMP PERSONNEL SERVICES,1638648.06
SAP,1566084.34
INTEGRATED NETWORK SECURITY,1542536.92
MODIS CANADA,1509390.32
NITRO MICROSYSTEMS,1402164.1
3261620 CANADA,1356027.12
SHARP ELECTRONICS,1251811.75
GC STRATEGIES,1251286.66666667
MDG COMPUTERS CANADA,1247950.99
MERCER CANADA,1228234.285
1804915 ONTARIO,1195594.24
CLOSEREACH,1191884.56666666
OTTAWA BUSINESS INTERIORS,1157866.75
SOMOS,1108714.00000001
3261620 CANADA OP CENTRE DE,1107663.79
ACOLE DE LANGUES DE LESTRIE,1106786.455
ONIX NETWORKING CANADA,1091634.58
CANADIAN BROADCASTERS RIGHTS AGENCY,1012578
SYMANTEC,962789.99
SAMSON ASSOCIAS,954532.47
IPSS,941344.9
AVI SPL CANADA,936887.11
CALIAN,910157.226666653
GOSS GILROY,866406.387499993
NISHA TECHONOLOGIES,863587.19
LANNICK CONTRACT SOLUTIONS,846652.500000006
NEO INSIGHT,838239.65
PATON ASSOCIATES MANAGEMENT,819250.000000003
MAPLESOFT CONSULTING,818311.28
NRNS,743540
AJILON,740198.85
CENTRE FOR PUBLIC MANAGEMENT,726979.72
BURA SOLUTIONS,709724.17
ADIRONDACK INFORMATION MANAGEMENT,707058.86
ACTION PERSONNEL,675115.506666668
MISHKUMI TECHNOLOGIES,644897.78
LIGHTNING TREE CONSULTING,642320.25
OPROMA,639105.4
DLS TECHNOLOGY,622920.29
4PLAN CONSULTING,612206.95
LES TRADUCTIONS TESSIER SCC,608160
MAXSYS PROFESSIONAL AND SOLUTIONS,592882.75
