vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,74622059.5933333
IBM CANADA,65507896.4049999
CORBEL MANAGEMENT,53552495.3985716
G4S SECURITY SERVICES,47583198
EMERION,40989219.1883334
PERCEPTICS,34731913.5
VERITAAQ TECHNOLOGY HOUSE,27331722.5233334
SI SYSTEMS,22239510.6266667
DELOITTE AND TOUCHE,22113710.0111111
LOGISTIK UNICORP,21611250
TPG TECHNOLOGY CONSULTANTS,16102730.1933333
THE GARDA SECURITY GROUP,15467509.85
TEKSYSTEMS CANADA,13028146.345
ADVANCED CHIPPEWA TECHNOLOGIES,12492386.08
RANDSTAD,11077384.639
SMITHS DETECTION,9495622.44
IBISKA TELECOM,8994400.32999999
TRM TECHNOLOGIES,8322776.95
GARTNER,7983196.7
WILLIAM J BARKER CLINICAL,7834261.74999999
NORTHERN MICRO,7776833.543
CGI,7600282.09666666
CALIAN,7102485.12666667
MGIS,6999999.99999993
HOMEWOOD HEALTH,6987710.16666666
2536 4589 QUEBEC,6627827.205
CANQUEST COMMUNICATIONS WIRELESS,6273463.49
MOTOROLA SOLUTIONS CANADA,6200507.185
TORONTO BAIL PROGRAM,5855592.6666667
D4IS SOLUTIONS,5520109.23
PACIFIC SAFETY PRODUCTS,5424000
NISHA TECHONOLOGIES,4982093.46000002
THE ACCESS INFORMATION AGENCY,4740460.61
LABWARE,4735679
QMR,4554329.3033333
SAMSON ASSOCIATES,4516209.3
SAP,4484296.62
MORPHO CANADA,4482579.1
MCKINSEY COMPANY,4395496.6
DONNA CONA,4090737.21
CANADIAN RED CROSS,4046104.12
IBI GROUP ARCHITECTS CANADA,3578333.3333334
RAPISCAN SYSTEMS,3573418.785
NAV CANADA,3280709.79
PATTISON SIGNS,3247423.955
GARDA CANADA SECURITY,3107454.84
STRATEGIC RELATIONSHIPS SOLUTIONS,3095680
IMP GROUP,3004942.8
MODIS CANADA,2996915.03000001
PROFESSIONAL COMPUTER CONSULTANTS GROUPS,2940824.9075
BDO CANADA,2903019.01
GLENTEL WIRELESS CENTRE,2896690.57333334
ECLIPSYS SOLUTIONS,2786339.4
TES CONTRACT SERVICES,2736225
FUJITSU,2562750.66666667
ALTIS HUMAN RESOURCES,2546852.5558333
BERNARD ELFASSY,2530184
LEIDOS CANADA,2508988.0425
EAGLE PROFESSIONAL RESOURCES,2369410.4
STOEGER CANADA 1990,2268439.33
MINDWIRE SYSTEMS,2133278.9
HUDSON PRODUCTIONS,2101961.45
SERCO,2057821
PRICEWATERHOUSE COOPERS,2049267.46666667
ADRM TECHNOLOGY CONSULTING,2027992.7
MOORE CANADA,1960634.14
NAVPOINT CONSULTING GROUP,1933232.25
LUMINA IT,1860409.75333333
FLEET CHRYSLER CANADA,1854477.2
TIREE,1810716.22
SOMOS,1740168.64
FORD MOTOR COMPAMY,1636807.58
MET SCAN CANADA,1636372.7
ERNST YOUNG,1630131.36111111
EXCEL HUMAN RESOURCES,1582259.39
SYSTEMATIX SOLUTIONS,1543628.065
RADIATION SOLUTIONS,1509410.6666667
THE HALIFAX GROUP,1466300.00000001
NA MYRIDIAN,1392282.4
CORADIX TECHNOLOGY CONSULTING,1360941.40000002
TYCO INTEGRATED FIRE SECURITY CANADA,1344129.025
BMC SOFTWARE DISTRIBUTION,1308683.33333335
WATERSHED INFORMATION TECHNOLOGY,1228361.16
LLOYD LIBKE LAW ENFORCEMENT SALES,1202885
TALIGENT CONSULTING,1193280
NEXTGENID CANADA,1190417.33333332
MOERAE SOLUTIONS,1188741
NEWFOUND RECRUITING,1164736
SYFT TECHNOLOGIES,1140327.2
ALIVAKTUK CONSULTING,1081890.24
TEKNION,1080923.76
FORRESTER SWITZERLAND,1034465.28
PURE ENERGY CENTRAL SYSTEMS,1030560
TELECOM COMPUTER SERVICES,1008268.35
MICROSOFT CANADA,1000429.81
BELL CANADA,952790.66
LANNICK RECRUITMENT OTTAWA,952787.68
HOGG ROBINSON CANADA,911272.000000001
DWP SOLUTIONS,906233.425
LES CONSULTANTS OLYMPE,875458.22
