vendor_normalized,sum_effective_value
GENERAL DYNAMICS,3136234145.25
IMP GROUP,1887108742.39
IRVING SHIPBUILDING,1107771753.72
UNITED STATES DEPARTMENT OF THE NAVY,984736304.62
BABCOCK INTERNATIONAL GROUP,940316459.47
LOCKHEED MARTIN,802480401.12
HARRIS,690677288.19
MACDONALD DETTWILER AND ASSOCIATES,647801701.95
PROJET RESOLVE PROJECT RESOLVE,620865000.00
SKYLINK AVIATION,610657936.64
IMPERIAL OIL,568332214.11
BELL TEXTRON HELICOPTER,542507591.67
CAE,528993674.59
THALES,517625021.30
UNITED STATES DEPARTMENT OF THE ARMY,503165637.40
THE BOEING COMPANY,485743012.83
RAYTHEON,474997752.42
SEASPAN VICTORIA SHIPYARDS,422424452.08
TELUS CANADA,334268038.84
SNC LAVALIN,330940064.19
NATO SEASPARROW SURFACE MISSILE SYSTEM PROJECT,327403070.52
L 3 TECHNOLOGIES MAS,322375000.00
NORTHERN MICRO,275876935.42
SIMEX DEFENCE,245686824.54
UNITED STATES DEPARTMENT OF THE AIR FORCE,233490241.59
KRAUSS MAFFEI WEGMANN,214932288.08
CASCADE AEROSPACE,193795770.67
WEIR CANADA,193212331.00
RHEINMETALL,191804898.57
CANADIAN CORPS OF COMMISSIONAIRES,190175299.04
CHEVRON,189350090.73
VANCOUVER SHIPYARDS,179687100.00
MACK TRUCKS,163640545.82
BAE SYSTEMS,158177823.35
ORENDA AEROSPACE,155773990.00
PROMAXIS,155392904.22
BELL CANADA,153603378.75
ADGA GROUP,144928183.24
COLT CANADA,143159330.28
DADS,137065121.58
FLEETWAY,134836885.80
VALCOM CONSULTING,123944112.06
SHELL CANADA PRODUCTS,122796639.96
SERCO,116537242.12
UNISOURCE,116123678.14
CALIAN,114952427.28
VECTOR AEROSPACE,112296210.33
PEERLESS GARMENTS,108827038.07
GENERAL ELECTRIC CANADA,108366287.66
SIRVA CANADA,107769788.00
FFG,99780410.88
MEGGITT TRAINING SYSTEMS CANADA,95972395.50
DEXTER CONSTRUCTION,91037437.75
IMP AEROSPACE AVIONICS DIVISION,90096772.00
BLACK MCDONALD,89059640.31
PETROVALUE PRODUCTS,88991748.52
IMT PARTNERSHIP,88361763.12
ORACLE CANADA,83503438.11
BMT FLEET TECHNOLOGY,81618234.68
HONEYWELL,81449256.40
TOP ACES,80978515.20
CUBIC DEFENSE APPLICATIONS,78317337.62
MODIS CANADA,77783155.22
NISHA TECHONOLOGIES,77405056.20
COSSETTE COMMUNICATIONS,76437261.91
HEWLETT PACKARD,76168447.56
WEATHERHAVEN CANADA,76157977.61
ALTIS HUMAN RESOURCES,69785746.05
ALLIED CONTAINER SYSTEMS,69645781.79
PRICEWATERHOUSE COOPERS,68195559.15
ATLAS VAN LINES CANADA,67891333.00
ALFRED BOIVIN,65395249.07
DISCOVERY AIR DEFENCE SERVICES,63870836.89
DAIMLER,63697171.40
PCL CONSTRUCTORS,60996071.75
METALCRAFT MARINE,60418688.42
ROLLS WOOD GROUP REPAIR OVERHAULS,60312872.00
FORD MOTOR COMPAMY,59529182.89
STANDARD AERO,58610236.67
RGT CLOUTHIER CONSTRUCTION,57323227.59
AMTEK ENGINEERING,57221704.44
STANTEC,56289866.96
FIELD AVIATION COMPANY,56187543.79
GENERAL MOTORS,54480246.54
BAXTERS CANADA,54225221.00
WADE GENERAL CONTRACTING,53895713.12
BONDFIELD CONSTRUCTION COMPANY,53538000.00
BLUEWAVE ENERGY,52669499.54
NORTHROP GRUMMAN,52302669.17
MICROSOFT CANADA,52139273.53
ULTRAMAR,51334553.35
NETWORK INNOVATIONS,50728337.83
A P M DIESEL 1992,50450865.33
CORPORATION DU FORT ST JEAN,49172782.12
MERCEDES BENZ CANADA,49088992.10
MLS OVERSEAS,48346452.02
NAV CANADA,48315933.97
MINDWIRE SYSTEMS,47916767.64
GLOBAL LOGISTICS SUPPORT,47833529.33
CLEARWAY CONSTRUCTION,47570409.49
QIKIQTAALUK LOGISTICS,47475000.00
FMS BIG CROW PROGRAM OFFICE,47376307.20
TRANSPOLAR TECHNOLOGY,46885439.84
ALLEN VANGUARD TECHNOLOGIES,46739910.00
ITEX,46672463.33
R J MACISAAC CONSTRUCTION,46267352.00
CORADIX TECHNOLOGY CONSULTING,45910739.50
WAHL CONSTRUCTION,45262781.79
DCC HEAD OFFICE OTTAWA,45230000.00
CH2M HILL CANADA,44986298.17
PRIMEX PROJECT MANAGEMENT,44980840.98
MULTINATIONAL LOGISTIC SERVICES,44668430.10
SAAB,44060058.22
IBM CANADA,42756461.51
